,age,gender,miles,debt,income,sales
152,49,0,36,39387,7025,21621
153,25,0,16,5256,6262,14039
154,45,1,38,47180,8717,22987
155,59,0,24,9200,7631,13496
156,29,0,48,2747,11301,17878
157,44,0,21,7300,6015,7825
158,49,0,15,1164,2920,3021
159,51,0,18,6327,2998,5665
160,57,1,25,9375,9667,16803
161,58,1,19,0,5746,1777
162,32,0,26,58823,8496,22670
163,50,0,28,9248,6850,6142
164,41,0,24,41817,8046,27869
165,31,1,31,8307,7035,6645
166,55,1,24,608,4184,3205
167,41,1,43,39884,10866,19621
168,41,0,29,12317,9438,18904
169,40,1,29,6698,6881,12292
170,44,1,44,53708,10953,24567
171,34,1,43,56759,10070,24382
172,30,0,44,47836,9878,23646
173,25,1,75,40579,10197,28253
174,34,0,15,0,1543,655
175,20,0,24,7733,0,1362
176,60,1,12,0,1593,1717
177,27,0,11,1142,10919,2942
178,27,1,11,0,1363,1909
179,24,1,23,9682,5096,790
180,21,1,19,9069,3064,1211
181,47,0,43,36068,10289,18916
182,24,1,13,5619,2616,1769
183,47,1,25,19065,10148,19634
184,53,0,21,3089,6390,14913
185,37,1,24,1482,1164,2533
186,24,0,22,2092,0,1262
187,51,0,31,6701,8178,16528
188,46,1,33,6992,5406,10076
189,59,1,78,45008,7661,29191
190,29,1,15,6845,8529,16160
191,60,1,47,23586,9884,19779
192,47,0,27,1683,7961,10826
193,30,0,20,0,1612,1955
194,46,0,50,2679,9243,17312
195,23,0,23,7434,4745,3633
196,25,0,25,4881,9999,7960
197,24,0,16,8493,5711,2626
198,29,1,17,0,4443,576
199,50,1,31,10245,10455,19243
200,49,1,25,6617,7294,14328
201,52,0,36,7021,8363,16863
202,45,1,29,1478,1481,2931
203,29,0,16,0,0,1367
204,25,0,29,766,6155,4519
205,23,1,14,8352,10027,3156
206,22,1,15,4497,4460,1412
207,21,0,19,96,4690,4842
208,22,0,27,1885,1375,513
209,49,0,16,282,1168,2532
210,51,0,28,4021,5005,9438
211,44,0,20,3066,10383,15834
212,29,0,11,502,7558,4250
213,33,1,25,6639,2447,5931
214,29,1,21,1455,2770,3658
215,51,0,31,37299,8967,20972
216,58,1,85,46528,7818,29146
217,43,1,21,5988,7691,8500
218,31,0,15,467,4887,4620
219,30,0,20,929,5999,9937
220,51,1,41,51193,8708,26148
221,28,1,24,5274,6962,9591
222,40,0,48,8938,11358,18064
223,29,1,50,9660,10076,18120
224,35,1,33,9013,7990,10916
225,23,1,17,8467,0,1030
226,32,1,27,0,7830,24433
227,25,0,49,22351,6524,22151
228,47,1,32,5643,1331,8433
229,57,0,20,4770,10681,17124
230,40,1,30,682,6189,3382
231,27,0,13,0,240,650
232,37,1,30,5922,5939,7483
233,52,1,35,3254,6781,13868
234,19,1,25,6272,0,1318
235,28,1,27,2471,1217,7438
236,54,1,47,14566,9079,20101
237,43,0,38,9358,11881,17304
238,20,0,24,4737,5132,1187
239,42,1,15,1978,5681,12561
240,36,0,45,13251,10961,21513
241,28,1,20,414,9900,5265
242,22,0,12,7868,1923,2450
243,21,1,11,9725,2787,2978
244,50,1,32,9333,9863,15849
245,44,0,35,201,5404,9977
246,39,1,16,6642,7522,8990
247,25,0,42,8751,11482,17094
248,23,1,22,900,2842,2235
249,47,0,92,44503,11487,28553
250,26,0,14,0,9452,1097
251,21,0,11,7186,1182,3854
252,36,1,20,9893,11937,15354
253,37,1,34,5091,6144,6293
254,46,0,44,7026,8124,17677
255,54,1,25,2639,3480,9007
256,28,1,34,48259,10985,26565
257,24,1,14,6962,11810,3910
258,52,1,16,5732,5715,10941
259,21,0,24,2240,11821,3220
260,45,0,29,8187,6727,10915
261,60,0,19,8633,9477,7135
262,30,1,16,3348,9489,6089
263,46,1,22,6367,7983,11274
264,26,0,51,45580,7529,27752
265,50,0,45,59015,11201,22429
266,25,1,14,2169,2862,943
267,29,0,35,4339,7852,6025
268,55,0,22,4061,11801,15638
269,32,0,33,9037,6254,8526
270,58,0,16,547,1148,2595
271,25,0,39,57929,7792,23856
272,55,1,20,5501,4846,17300
273,34,0,18,1472,1813,2665
274,50,1,32,39329,10059,20516
275,26,1,28,19077,8174,21929
276,59,1,26,18476,11503,20942
277,59,0,20,736,5216,12083
278,28,0,79,43266,7995,29770
279,30,0,29,3202,7802,7518
280,59,0,48,45228,6929,22225
281,34,0,29,21312,7645,20910
282,39,0,46,0,6244,22488
283,29,1,15,6844,11360,6853
284,27,1,36,51182,7948,25689
285,30,1,40,8368,8658,17172
286,23,0,18,8194,11876,3666
287,46,0,30,50378,8400,23568
288,48,0,23,381,7130,8404
289,26,0,32,2853,7352,6403
290,49,0,26,864,9044,15851
291,45,1,27,1074,2918,2970
292,40,1,30,9686,2353,6801
293,20,1,17,4278,1021,1826
294,24,1,12,6612,9831,3004
295,38,1,38,17230,8010,19338
296,39,1,23,1504,6868,9952
297,47,0,18,5760,6305,8326
298,56,0,34,44866,6796,24486
299,56,1,35,42169,6874,24129
300,28,0,18,0,3823,1347
301,21,0,27,7243,3513,1041
302,27,0,16,0,11970,1086
303,54,1,25,42617,11478,25125
304,50,1,49,51261,6787,22306
305,23,1,20,5008,9467,2260
306,25,0,21,2020,10594,16078
307,25,1,17,9086,4523,7607
308,36,0,34,57792,7696,24545
309,44,0,40,47010,9034,28569
310,33,1,78,58432,8140,29414
311,21,0,12,903,6314,2440
312,54,0,34,5881,9018,16489
313,33,1,27,911,10882,17388
314,22,0,15,6963,1714,2037
315,26,1,21,9238,7388,8762
316,32,0,21,1834,4759,5011
317,19,1,20,9855,4648,4368
318,49,1,25,5017,7705,14308
319,54,1,23,16601,8044,18619
320,21,0,26,1877,9241,1376
321,20,1,14,5225,1927,1825
322,29,0,29,1648,2157,3979
323,23,0,19,8315,4815,3798
324,25,0,22,6647,2431,5417
325,32,0,31,2329,5680,16595
326,49,0,23,50755,8826,28575
327,45,0,92,59414,9996,29322
328,22,1,14,1801,3753,3510
329,37,1,34,1526,7508,6799
330,49,0,15,2244,7956,13291
331,53,1,11,0,588,614
332,45,0,32,59210,9114,27229
333,21,1,28,5042,1314,4912
334,44,0,27,742,2537,2795
335,20,0,13,4853,0,841
336,53,0,33,1130,7848,7344
337,29,1,27,1651,3440,5385
338,30,0,23,9545,7155,12608
339,27,1,30,6268,7866,6427
340,53,1,17,7986,6277,12152
341,38,1,28,0,1987,763
342,39,0,22,0,7769,1147
343,57,0,18,7593,4375,5664
344,59,1,22,1041,6551,14850
345,52,1,29,15752,6277,22145
346,27,0,20,1898,4881,3068
347,57,0,17,7332,5393,9288
348,52,0,27,9991,5148,7930
349,38,1,42,40427,8311,28608
350,40,0,93,46003,11049,29652
351,25,0,26,326,7514,8974
352,45,1,20,36043,11711,21566
353,45,0,37,35373,6338,18243
354,37,0,30,265,2092,7346
355,36,1,15,9885,2196,12760
356,20,1,27,5343,3185,3168
357,19,1,16,8469,6106,3328
358,48,0,13,963,2021,2526
359,32,1,47,30200,8798,18813
360,37,1,10,729,4793,3137
361,47,0,28,922,4512,4609
362,28,1,12,0,4133,1249
363,48,1,36,53089,6539,22503
364,60,1,34,8343,4612,10439
365,22,0,28,5863,1241,696
366,30,1,26,0,5410,1608
367,40,1,23,28114,7951,20323
368,52,1,46,32748,8779,20304
369,33,0,12,0,1293,1686
370,42,1,41,32122,8596,19621
371,36,0,27,9813,5591,8205
372,41,1,94,49308,11373,27887
373,59,0,22,2242,8107,16558
374,55,1,15,9174,7883,8485
375,25,1,14,1239,7402,4450
376,20,0,28,5184,0,1089
377,26,0,14,0,3020,942
378,54,0,23,5239,7194,8940
379,29,1,21,464,8558,5029
380,57,0,17,1194,7750,3240
381,53,0,10,1777,1577,2336
382,49,1,26,3571,5246,6191
383,48,1,27,48509,11207,25111
384,24,0,11,6236,0,733
385,34,1,30,783,6224,4511
386,35,0,34,7976,10488,15541
387,20,1,13,5565,0,3834
388,22,1,14,5556,6121,3437
389,52,0,43,13129,10652,20129
390,24,1,23,3469,4059,2756
391,55,1,18,0,0,1432
392,34,1,84,51994,11234,29009
393,27,1,22,27108,8503,18398
394,29,0,21,804,1674,2832
395,26,1,23,0,0,1295
396,48,0,22,47642,8369,22654
397,39,0,23,50067,9636,25979
398,20,0,25,4296,4897,3635
399,38,0,29,7934,6801,14073
400,38,1,23,0,7329,1869
401,20,0,26,6176,0,1728
402,20,0,20,8846,4598,3002
403,48,1,35,2727,7354,6250
404,36,0,16,1291,4062,5040
405,36,0,32,8232,5653,12965
406,43,0,23,6556,2298,9836
407,30,1,33,7077,5406,12424
408,47,0,29,0,1622,1733
409,38,1,29,8950,7054,9231
410,30,0,44,20245,10491,20638
411,35,1,45,57033,9728,27473
412,58,1,30,1804,6182,6317
413,42,0,26,0,1288,718
414,25,0,22,8619,3299,8506
415,24,1,16,215,3324,4765
416,33,1,37,8066,10218,16754
417,19,0,10,5387,1735,1728
418,25,1,20,1783,1767,17843
419,27,1,15,0,1696,505
420,56,0,97,59607,11425,28252
421,52,0,21,1354,1453,14884
422,36,1,23,2006,6360,8470
423,58,0,37,49785,11586,22965
424,19,1,18,9007,1222,2812
425,40,0,37,48837,11649,26185
426,44,1,30,4157,6280,13996
427,48,0,47,23035,8591,22062
428,30,0,18,8580,11084,16504
429,44,0,27,41921,9930,24016
430,49,0,24,6446,5304,11339
431,24,0,28,8307,5933,4340
432,29,1,25,4278,5941,9167
433,53,1,21,1479,2613,3988
434,58,1,29,1540,3123,15765
435,55,1,37,41027,8230,25490
436,28,0,19,1594,1547,2324
437,26,0,26,1586,1576,3844
438,51,0,33,7420,7866,14195
439,60,0,28,46811,7223,24263
440,37,1,40,40524,7852,29676
441,36,0,34,5413,10905,15422
442,30,1,23,7067,6829,5462
443,27,0,19,0,1598,2112
444,30,1,21,13240,11165,20103
445,26,0,23,158,4194,2707
446,25,1,11,1818,4524,2838
447,48,1,33,8774,7322,14298
448,31,1,13,1534,2436,4086
449,26,0,28,8129,1868,7189
450,42,1,21,4979,6266,11439
451,59,1,24,6706,5716,13790
452,22,0,27,3690,4009,3240
453,23,0,19,1400,4964,3039
454,57,1,27,5500,11114,16383
455,45,1,17,0,1756,2116
456,25,0,33,37689,8869,19247
457,50,1,24,9610,6330,7427
458,59,1,31,5309,6930,14096
459,52,0,27,40796,9183,25577
460,27,0,41,31423,11364,18537
461,24,1,10,8509,5323,2620
462,20,0,22,1064,1781,2890
463,46,1,21,0,0,1358
464,40,0,45,52849,10534,28023
465,31,0,19,1918,6092,5327
466,28,0,18,9333,1504,8751
467,54,1,19,3155,7499,11564
468,36,0,32,221,6021,8396
469,60,0,30,4544,11061,15064
470,51,0,41,56775,10161,27553
471,58,0,48,38892,10090,19629
472,21,1,16,511,7299,1205
473,59,1,26,58026,9390,25893
474,26,0,28,1060,3817,3069
475,24,1,15,2457,2596,4240
476,45,0,35,8944,7562,6741
477,40,1,50,5156,8348,17766
478,28,1,15,1510,4530,5198
479,19,0,23,61,10541,2819
480,35,0,20,59770,6859,29096
481,54,1,25,374,1557,2701
482,58,1,20,167,2596,5171
483,55,0,39,40102,10888,29091
484,35,0,29,121,5835,5012
485,39,1,12,0,2827,914
486,24,1,14,4081,1647,1642
487,47,0,41,52355,9253,23527
488,37,0,28,7736,5661,12030
489,24,0,16,5612,2393,985
490,57,1,25,13,4227,3943
491,56,1,20,518,3813,3092
492,44,0,12,0,4909,620
493,37,0,25,16376,6830,20612
494,49,0,82,46868,7294,28446
495,48,0,33,54936,10566,25470
496,39,1,20,2607,7533,11413
497,60,1,28,882,3272,4463
498,46,1,26,784,5143,11302
499,55,0,43,5155,10007,17068
500,25,1,32,6594,1284,7356
501,36,1,18,8359,6802,10866
502,46,1,45,47032,6439,24492
503,48,1,13,740,3313,4948
504,30,1,20,86,7261,10401
505,19,0,20,9972,11739,3418
506,31,1,22,2434,10705,16787
507,36,0,18,3562,5476,6883
508,45,0,26,0,1509,1693
509,26,1,29,4879,6230,8971
510,46,1,22,0,1374,620
511,22,1,25,870,0,856
512,29,1,23,4000,11398,25182
513,57,1,24,0,2521,658
514,30,1,34,8253,7296,12318
515,29,1,35,3936,6784,12415
516,48,0,18,0,0,1098
517,50,0,31,6072,7051,6197
518,54,1,26,3050,6045,13132
519,58,0,29,6479,7561,9086
520,53,1,33,54605,8484,25118
521,47,0,29,4700,10750,15487
522,32,0,19,816,7707,6210
523,49,1,18,1209,4912,3643
524,26,0,39,35396,9541,21916
525,43,0,23,5974,11612,17397
526,56,1,20,4153,8278,17677
527,57,1,32,9503,5479,9319
528,20,0,16,6812,2727,4765
529,32,0,23,54618,11548,26713
530,39,1,28,5754,8378,15216
531,20,1,15,4556,0,1760
532,23,1,18,1837,3115,1712
533,19,1,15,9013,11048,4827
534,29,1,23,14736,8485,18848
535,30,0,19,9392,2388,9569
536,47,1,27,40493,11288,28677
537,27,0,26,1546,5294,6146
538,28,1,12,747,2717,2969
539,24,0,22,932,6122,4456
540,49,0,11,0,3905,700
541,47,1,19,10,4594,3184
542,23,1,28,7844,3752,3743
543,43,1,27,9169,7789,14720
544,44,1,21,9618,10479,18128
545,59,0,43,38439,1343,18192
546,49,1,29,1413,2875,3266
547,55,0,28,52687,11754,25157
548,56,1,14,855,4686,4101
549,59,0,44,31095,10744,20750
550,46,1,33,2246,1006,12617
551,19,0,16,1592,2962,2993
552,57,1,17,9486,8421,15895
553,36,1,42,47886,6604,28134
554,49,1,19,9055,3599,5837
555,33,0,22,9251,10055,15559
556,50,1,25,628,7986,4627
557,41,0,20,59473,11414,24119
558,24,1,12,9043,3023,782
559,29,1,27,0,5579,1400
560,60,1,25,2834,11354,15997
561,20,1,19,6279,0,2056
562,52,1,29,38659,9753,18189
563,35,1,32,47815,7212,28964
564,28,1,29,4100,5881,9508
565,57,0,20,3112,6219,11537
566,25,0,25,8776,8206,8240
567,36,1,37,6000,8360,25973
568,22,0,26,7100,5443,1285
569,47,0,30,6809,8573,17930
570,49,1,24,192,4659,5256
571,59,0,29,9726,2245,5772
572,20,1,17,9143,1342,3012
573,21,0,26,8797,4525,3982
574,51,0,26,1123,2854,3485
575,23,0,26,3273,3739,4487
576,26,1,36,4471,8513,16678
577,29,0,27,6013,5902,6014
578,45,1,17,6859,6043,8024
579,33,1,28,29303,6158,21984
580,40,0,24,0,9746,23903
581,56,0,33,26355,9005,18474
582,23,1,25,3595,10330,4854
583,37,1,26,685,11334,15145
584,35,0,14,0,3451,650
585,20,0,26,53,1226,1767
586,28,1,25,59327,6188,25125
587,32,1,47,59719,11622,25652
588,52,0,27,53331,11305,23927
589,45,1,25,205,2235,3640
590,57,1,40,25359,6408,20318
591,48,0,26,23932,11522,21573
592,42,1,34,45766,7186,25715
593,22,1,23,9548,1152,2692
594,24,1,24,8159,2033,4565
595,40,1,23,7993,4048,9143
596,43,0,17,2940,2651,10747
597,23,1,12,1435,4675,3906
598,43,1,30,28495,3859,18765
599,35,0,23,688,4298,5277
600,33,0,13,0,0,1393
601,20,0,21,3032,1514,2548
602,40,0,28,7011,10703,16105
603,38,0,18,2985,7424,10379
604,39,1,42,26745,8655,18640
605,60,0,42,57553,6818,24932
606,48,1,13,0,162,982
607,58,1,17,1390,3829,3925
608,39,0,32,51889,8679,26200
609,37,0,20,565,9226,6041
610,58,1,35,57014,11064,26599
611,28,0,29,386,1076,2869
612,51,1,33,41523,6538,27774
613,23,1,26,5941,1511,2900
614,27,0,31,6228,7637,6240
615,38,1,17,8095,1723,12886
616,60,1,27,5238,6064,11708
617,26,1,42,58194,7865,23849
618,59,0,30,9714,6692,12256
619,23,1,18,1841,4981,3268
620,22,0,30,1283,2908,3724
621,37,1,30,9183,9669,15687
622,36,0,25,6859,7430,12151
623,51,0,39,19251,7608,20011
624,26,0,37,48818,9572,24984
625,46,0,36,26031,7637,21831
626,43,0,24,387,6903,6433
627,22,0,11,1586,3379,2734
628,23,0,17,778,1853,1955
629,23,1,11,6550,1296,1846
630,25,1,25,8869,7037,7596
631,60,0,95,49927,10718,27591
632,37,1,33,3590,7162,10010
633,25,0,24,1175,2319,5824
634,24,1,24,1378,3852,4455
635,21,0,20,6801,1358,1999
636,39,1,28,120,4109,3465
637,40,1,33,8036,5152,7810
638,36,1,31,990,5561,6655
639,37,1,41,28617,10538,21881
640,20,1,19,4198,3753,4936
641,23,1,28,2221,0,1136
642,40,0,48,47609,7802,24154
643,24,1,14,9343,8197,2184
644,47,0,19,2937,5401,9689
645,28,0,38,56551,10986,24055
646,32,1,21,41945,7410,25338
647,57,1,70,47503,9879,29494
648,21,0,16,1016,0,604
649,38,1,27,821,11904,15542
650,43,0,36,7044,9415,17573
651,20,0,14,450,1564,1733
652,21,0,14,4552,3152,4731
653,36,1,21,6914,5490,6776
654,31,1,34,3325,2567,16021
655,22,1,17,1320,5065,2010
656,21,1,10,7513,3275,3487
657,27,1,28,1289,5315,8402
658,60,1,26,3850,10367,15056
659,50,0,24,4987,7388,11401
660,37,1,24,1174,4360,2993
661,39,0,35,5887,5031,10251
662,27,1,22,0,6766,1937
663,30,1,25,730,1784,2394
664,51,0,33,4160,2399,12021
665,23,1,15,3010,1496,2429
666,38,1,43,54655,9613,26611
667,26,0,11,6742,3514,5669
668,45,0,34,42989,7275,22655
669,30,0,27,9766,5787,9196
670,25,1,12,1411,8381,3779
671,33,1,25,9569,6598,8396
672,48,0,72,55789,10257,29138
673,30,1,29,1427,2214,3310
674,30,1,23,773,4557,3267
675,37,1,38,41500,11123,22391
676,20,1,13,9933,2538,4927
677,33,0,23,56544,7079,22752
678,43,0,35,7017,5538,12969
679,37,0,20,15795,6662,21080
680,48,0,28,2727,5962,12753
681,41,1,20,514,7553,11340
682,36,1,29,0,2818,1181
683,46,0,47,52311,6295,23970
684,29,0,22,0,4014,1358
685,45,0,26,1494,6561,9354
686,25,0,47,54010,10605,26873
687,55,0,27,0,0,1089
688,52,0,19,360,1378,2540
689,58,0,16,1782,3500,4583
690,54,0,24,2570,5032,7402
691,55,0,34,7446,6704,6002
692,27,0,26,498,1663,6536
693,47,1,21,49843,10631,23932
694,24,0,30,4054,3912,1836
695,45,1,25,7523,7699,12210
696,32,0,17,774,7543,11823
697,37,1,29,28426,9582,19887
698,51,0,42,5386,9048,17176
699,46,0,40,34537,8203,19369
700,20,1,27,5147,11844,673
701,23,1,11,5098,4222,3920
702,31,1,22,56021,7324,25258
703,38,1,22,7996,7509,6505
704,22,1,11,7323,4726,4137
705,26,1,26,361,3405,5304
706,42,1,40,15245,8527,29626
707,56,0,29,0,1932,2058
708,59,1,34,58408,10366,22642
709,60,1,26,3181,5057,6205
710,37,0,30,55685,7004,27726
711,19,1,16,2584,0,3412
712,36,0,78,54988,10894,29926
713,43,0,20,2352,7075,13996
714,51,1,18,988,4475,5026
715,35,0,47,8895,10614,17038
716,53,0,14,0,4134,712
717,37,0,42,37524,9534,19799
718,42,0,47,16771,9160,21617
719,42,1,17,9885,1273,13163
720,21,0,10,6796,4264,4554
721,47,0,20,52876,10195,23901
722,55,1,30,5957,4109,8591
723,27,0,23,1897,1878,2581
724,37,0,20,1774,2818,3415
725,40,1,26,22675,8270,21211
726,32,0,32,6399,11208,17441
727,28,0,19,1493,1326,9605
728,58,1,12,0,3413,1200
729,36,0,13,0,0,1173
730,57,0,31,56214,8026,22856
731,22,0,28,325,4951,1176
732,25,1,32,1291,7666,8004
733,28,0,29,0,4668,740
734,58,1,78,58360,8286,28842
735,36,0,30,42313,11107,25249
736,27,1,34,6393,4750,6892
737,25,1,47,30734,10995,21282
738,36,1,18,0,4128,724
739,28,0,18,0,1816,2223
740,30,0,22,1875,5306,3094
741,20,1,22,4630,6042,3692
742,52,0,31,53968,6363,24273
743,36,0,22,47614,11390,23197
744,42,1,43,5802,11411,17277
745,25,1,45,42743,9278,28323
746,50,1,20,6671,7388,6011
747,27,1,43,55599,9110,25842
748,45,0,67,49446,11755,28442
749,60,0,24,5256,6425,13401
750,46,1,20,53886,9787,25846
751,51,0,22,6309,5949,13974
752,58,1,40,8374,5511,17702
753,48,0,21,709,1420,4894
754,38,0,18,5431,6152,14742
755,35,1,26,1251,3291,4072
756,60,1,30,0,1843,1789
757,46,1,29,8725,5797,6042
758,60,1,27,3124,10991,8843
759,38,1,20,0,1821,1577
760,49,0,23,944,3407,4898
761,41,1,39,43715,6423,23032
762,37,0,33,6796,6646,6842
763,45,0,21,2273,5203,11347
764,57,0,29,24388,9989,18892
765,30,1,27,4378,4721,7163
766,43,1,23,52587,10303,28867
767,21,1,23,6509,2541,4448
768,52,0,50,17501,8574,21540
769,40,0,23,0,2544,1213
770,37,0,22,8096,5276,17954
771,31,0,21,45358,7340,25316
772,59,1,26,8464,7632,10481
773,55,0,47,2303,8605,17067
774,25,1,30,1982,6355,6626
775,50,1,13,0,4782,1058
776,22,0,24,9925,1278,2316
777,22,0,18,5078,0,1349
778,22,0,23,863,2695,4564
779,22,0,18,1821,6498,4182
780,30,0,33,328,5877,9618
781,28,0,25,282,9891,15823
782,31,1,22,211,4215,4257
783,21,0,13,8717,2220,3758
784,20,1,19,6454,9566,4793
785,25,1,30,8017,10155,6750
786,39,1,27,4295,6297,14363
787,37,1,23,7298,5521,13410
788,42,0,25,6413,7458,15109
789,59,0,24,876,4440,5036
790,43,0,30,961,6544,7239
791,43,0,20,5361,7904,5491
792,22,1,28,5603,11276,4762
793,20,0,23,5286,6330,2802
794,34,1,22,7719,5748,11428
795,39,1,37,31049,6143,20153
796,27,0,43,46075,8210,24187
797,26,1,21,4214,10232,9344
798,42,1,41,837,8509,16793
799,34,1,48,7258,1774,17364
800,55,0,18,9546,7781,12455
801,26,1,12,0,5005,1803
802,57,1,35,1417,3695,6784
803,55,0,28,6564,10795,15769
804,56,1,11,1335,3447,4649
805,30,1,32,4603,5596,14434
806,48,1,77,47931,6082,27515
807,52,1,48,42204,9951,25575
808,28,1,27,0,2664,948
809,35,0,20,6642,5157,14164
810,54,1,27,261,4983,5909
811,40,1,16,86,1066,2296
812,42,1,29,989,1532,2918
813,29,1,10,95,2688,5055
814,48,1,25,55112,7806,22545
815,34,1,19,8804,1340,11685
816,54,1,27,497,8448,4965
817,40,0,62,42341,7395,29828
818,49,0,20,4957,7422,14078
819,52,1,18,9865,5563,7596
820,48,1,22,42597,10310,23476
821,30,1,41,20338,9541,18254
822,19,0,15,5079,0,4491
823,49,1,67,42738,8310,29581
824,47,1,34,37598,7658,22188
825,27,0,34,5543,9306,15104
826,19,1,19,9106,6238,3351
827,52,1,11,0,1782,1569
828,46,0,24,819,10531,2503
829,57,0,48,7794,9535,17253
830,50,0,13,0,1844,2172
831,28,1,33,9105,5327,9533
832,50,0,37,53891,9330,23489
833,42,1,16,8525,5854,9599
834,45,1,45,26994,9160,19672
835,35,0,28,8286,2838,5610
